Example Coffee  Work    Exercise    School  Lunch   Sick    Rest    Weekend Read    Nap?
x1  1   0   1   0   Large   0   6-8 1   0   1
x2  1   1   0   1   Med 0   6-8 0   0   0
x3  0   1   0   0   Med 0   <6  0   0   1
x4  1   0   0   1   Small   0   6-8 0   1   0
x5  0   0   1   1   Med 0   <6  1   0   1
x6  0   0   0   0   Small   1   8-10    0   0   1
x7  1   1   0   1   Med 0   <6  0   1   1
x8  1   0   1   0   Med 0   8-10    1   1   0
x9  1   1   1   1   Small   0   6-8 0   1   1
x10 0   0   0   0   Large   0   <6  1   1   1
x11 1   0   0   1   Large   1   8-10    0   0   1
x12 1   1   0   0   Small   0   6-8 1   1   0
x13 1   1   1   1   Large   0   8-10    0   1   1
